Qty/Board,Line Item,Ref Des,Description,Manufacturer,MPN,DigiKey SKU,Distributor,Unit Price,Packaging,URL [Digi-Key]
1,TSSP58P38,U102,TSSP58P38,Vishay,TSSP58P38,TSSP58P38-ND,,0.6615,Bulk,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05ee5d1&sid=459&ppid=24640747&vpid=159806750&ct=offers
1,STM32F030K6T6,U101,STM32F030K6T6,STMicroelectronics,STM32F030K6T6,497-14046-ND,,1.0671,Tray,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FSTM32F030K6T6%2F497-14046-ND%2F4494296&country=US&ak=68b25f31&sig=009b28f&sid=459&ppid=30038872&ct=offers
10,APA102C,,RGB LEDs,,APA102C 5050,1528-1436-ND,,,Bulk,
1,AA Holders,,AA Battery holder,,BCAAPC,BCAAPC-ND,,0.88,Bulk,https://www.digikey.com/products/en?keywords=BCAAPC-ND%20
2,CL21A106KQCLRNC,C104;C105,100nF,Samsung,CL21A106KQCLRNC,1276-2405-1-ND,Digi-Key,0.0286,Cut Tape,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=000f52a&sid=459&ppid=24958117&vpid=72525768&ct=offers
1,CL21A106KQCLRNC,C101,0.1uF,Samsung,CL21A106KQCLRNC,1276-2405-1-ND,Digi-Key,0.0286,Cut Tape,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=000f52a&sid=459&ppid=24958117&vpid=72525768&ct=offers
1,CC0805KRX7R9BB103,C102,10nF,Yageo,CC0805KRX7R9BB103,311-1136-1-ND,Digi-Key,0.0145,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FCC0805KRX7R9BB103%2F311-1136-1-ND%2F303046&country=US&ak=68b25f31&sig=04411b9&sid=459&ppid=192989&ct=offers
1,CC0805KKX7R7BB105,C103,1uF,Yageo,CC0805KKX7R7BB105,311-1365-1-ND,Digi-Key,0.0325,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FCC0805KKX7R7BB105%2F311-1365-1-ND%2F2103149&country=US&ak=68b25f31&sig=0ad85ca&sid=459&ppid=8376555&ct=offers
3,CL21F105ZOFNNNE,C202;C203;C201,22uF,Samsung,CL21F105ZOFNNNE,1276-3011-1-ND,Digi-Key,0.01544,Cut Tape,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f80500&sid=459&ppid=19832730&vpid=72527560&ct=offers
3,08055C104KAT2A,C106;C301;C302,4.7uF,AVX,08055C104KAT2A,478-1395-1-ND,Digi-Key,0.01208,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2F08055C104KAT2A%2F478-1395-1-ND%2F564427&country=US&ak=68b25f31&sig=015bc21&sid=459&ppid=55386349&ct=offers
1,LQH3NPN4R7NJ0L,L301,4.7uH,Murata,LQH3NPN4R7NJ0L,490-5346-1-ND,Digi-Key,0.2646,Cut Tape,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d37025&sid=459&ppid=17909807&vpid=34233058&ct=offers
2,IR25-21C/TR8,D102;D103,IR25-21C/TR8,Everlight,IR25-21C/TR8,1080-1356-1-ND,Digi-Key,0.1797,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FIR25-21C%252fTR8%2F1080-1356-1-ND%2F2676090&country=US&ak=68b25f31&sig=0198f6b&sid=459&ppid=17677898&ct=offers
1,RC0805JR-070RL,R102,0R,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,Digi-Key,0.0072,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0805JR-070RL%2F311-0.0ARCT-ND%2F731163&country=US&ak=68b25f31&sig=0bc70cf&sid=459&ppid=55402891&ct=offers
1,RC0805JR-071KL,R101,10k,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,Digi-Key,0.0066,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0805JR-071KL%2F311-1.0KARCT-ND%2F731165&country=US&ak=68b25f31&sig=0ee2fea&sid=459&ppid=40025580&ct=offers
1,RC0805FR-071ML,R301,1M,Yageo,RC0805FR-071ML,311-1.00MCRCT-ND,Digi-Key,0.0077,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0805FR-071ML%2F311-1.00MCRCT-ND%2F730392&country=US&ak=68b25f31&sig=00e7688&sid=459&ppid=39987041&ct=offers
1,RC0805FR-0736RL,R103,36R,Yageo,RC0805FR-0736RL,311-36.0CRCT-ND,Digi-Key,0.0077,Cut Tape,https://octopart.com/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FRC0805FR-0736RL%2F311-36.0CRCT-ND%2F730829&country=US&ak=68b25f31&sig=09cc5c1&sid=459&ppid=1165961&ct=offers
1,AAT1217ICA-3.3-T1,U301,AAT1217-3.3,Skyworks Solutions,AAT1217ICA-3.3-T1,863-1496-1-ND,Digi-Key,0.6774,Cut Tape,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04cbbb5&sid=459&ppid=29748245&vpid=82240333&ct=offers
